Item Number;Item Description;Bottle Volume (ml);Category;Vendor Number
67586;KAPALI COFFEE LIQUEUR;750;1081030;421
867;JACK DANIEL'S INDEPENDENCE W/2 GLASSES;750;1701100;85
11777;BLACK VELVET;1000;1012100;115
67556;KAMORA COFFEE LIQUEUR;750;1081030;65
87408;JOSE CUERVO ESPECIAL SILVER;750;1022100;395
68036;BAILEY'S ORIGINAL IRISH CREAM;750;1081200;260
25607;SEAGRAMS 7 CROWN BL WHISKEY;1000;1011100;260
43137;BACARDI LIMON;1000;1062300;35
49189;REMY MARTIN VSOP COGNAC;200;1052010;389
43121;BACARDI SUPERIOR RUM MINI;500;1062200;35
64985;FRENCH KISS TROPICAL LIQUEUR MINI;3000;1081900;421
43333;CAPTAIN MORGAN SPICED RUM PET;200;1062310;260
22155;WILD TURKEY 101 ROUND;375;1011200;461
24454;KESSLER BLEND WHISKEY;375;1011100;65
89139;CABO WABO REPOSADO;750;1022100;461
40403;UV PEACH;750;1031200;380
43285;CAPTAIN MORGAN ORIGINAL SPICED RUM PET;750;1062310;260
15248;WINDSOR CANADIAN PET;1750;1012100;65
81207;PARAMOUNT PEPPERMINT SCHNAPPS;1000;1081300;434
63354;SKINNYGIRL WHITE CRANBERRY COSMO;750;1071100;65
57158;CHI-CHI'S STRAWBERRY MARGARITA W/TEQUILA;1750;1071100;55
56957;BARTENDERS HOT SEX;1000;1071100;285
64676;CHAMBORD LIQUEUR ROYALE DE FRANCE;750;1082900;85
52599;E & J VS BRANDY ROUND;1000;1051010;205
41707;PHILLIPS LIME FLAVORED VODKA;1000;1031200;380
65194;HPNOTIQ;375;1082900;259
1799;CAPTAIN MORGAN SPICED BARREL;1750;1062310;260
31666;PARAMOUNT GIN TRAVELER;750;1041100;434
80440;RICACHA HORCHATA;750;1081200;322
1400;CROWN ROYAL W/2 GLASSES;750;1701100;260
81206;PARAMOUNT PEPPERMINT SCHNAPPS;750;1081300;434
69636;DR. MCGILLICUDDY'S CHERRY SCHNAPPS;750;1081390;421
43128;BACARDI SUPERIOR RUM;1750;1062200;35
37991;SMIRNOFF VODKA 80 PRF MINI;500;1031080;260
89193;JOSE CUERVO ESPECIAL REPOSADO TEQUILA;200;1022100;395
4356;BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH;750;1012210;240
36301;HAWKEYE VODKA 80 PRF MINI;500;1031100;434
34746;STOLICHNAYA RUSSIAN VODKA 80 PRF;750;1032080;277
42984;TRADER VICS PRIVATE SELECTION SPICED RUM;1750;1062310;380
34007;ABSOLUT SWEDISH VODKA 80 PRF;1000;1032080;370
86669;JACK DANIEL'S TENNESSEE HONEY;375;1011300;85
83363;ICE HOLE BUTTERSCOTCH SCHNAPPS;750;1081312;380
4626;BUCHANAN'S 12 YR DELUXE SCOTCH;750;1012200;260
36978;NIKOLAI VODKA;1750;1031080;421
81966;ARROW MCDALE'S BUTTERSCOTCH SCHNAPPS;750;1081312;434
68049;BAILEY'S VANILLA CINNAMON;750;1081200;260
47785;COURVOISIER VS COGANC;375;1052010;65
66824;SPICEBOX CANADIAN CINNAMON WHISKY;750;1012100;421
20247;OLD CROW;1000;1011200;65
89197;JOSE CUERVO ESPECIAL REPOSADO TEQUILA;1000;1022100;395
12407;CANADIAN LTD WHISKY;1000;1012100;55
77776;WILD TURKEY AMERICAN HONEY;750;1011200;461
25878;SUNNY BROOK BLEND WHISKEY;1750;1011100;65
73596;DEKUYPER MICHIGAN CHERRY LIQUEUR;750;1081900;65
89796;SAUZA CONMEMORATIVO;750;1022100;65
40625;UV CHOCOLATE CAKE;750;1031200;380
12466;CANADIAN MIST WHISKY;750;1012100;85
37996;SMIRNOFF VODKA 80 PRF;750;1031080;260
44486;CRUZAN DARK RUM;750;1062200;65
56194;PAUL MASSON PEACH GRANDE AMBER BRANDY MINI;600;1051140;115
86886;SOUTHERN COMFORT;750;1081600;85
29566;BURNETT'S GIN LONDON DRY;750;1041100;259
17956;EVAN WILLIAMS STR BOURBON;750;1011200;259
22157;WILD TURKEY 101;1000;1011200;461
65253;JAGERMEISTER LIQUEUR;200;1082900;192
73054;RUMCHATA;1750;1081200;305
57148;CHI-CHI'S MARGARITA W/TEQUILA;1750;1071100;55
88291;PATRON TEQUILA SILVER MINI;300;1022100;410
24156;HAWKEYE BLEND WHISKEY;750;1011100;434
15777;BUSHMILLS IRISH WHISKEY;1000;1012300;395
42006;APPLETON SIGNATURE BLEND;750;1062100;461
35039;THREE OLIVES POMEGRANATE VODKA;750;1032200;395
13038;CANADIAN RESERVE WHISKY;1750;1012100;434
35626;PINNACLE WHIPPED;750;1032200;65
40594;NEW AMSTERDAM PEACH;750;1031200;205
84170;99 BANANAS;750;1081380;55
23828;FIVE STAR;1750;1011100;297
52581;E & J VSOP SUPERIOR RESERVE;375;1051010;205
35699;PEARL CUCUMBER VODKA;750;1032200;434
39866;SMIRNOFF VODKA 100 PRF;750;1031100;260
48164;HENNESSY VSOP PRIVILEGE;750;1052010;420
26826;JACK DANIELS OLD #7 BLACK LBL;750;1011300;85
64000;ABSENTE;750;1082900;305
36969;NEW AMSTERDAM VODKA;750;1031080;205
35316;BARTON VODKA;750;1031080;55
65195;HPNOTIQ;750;1082900;259
55084;PARAMOUNT BLACKBERRY BRANDY;375;1051110;434
34001;ABSOLUT SWEDISH VODKA 80 PRF MINI;600;1032080;370
89191;JOSE CUERVO ESPECIAL REPOSADO TEQUILA MINI;500;1022100;395
64762;CIROC RED BERRY;375;1032200;260
41693;UV BLUE (RASPBERRY) VODKA;750;1031200;380
88186;OLMECA ALTOS PLATA;750;1022100;370
64868;FIREBALL CINNAMON WHISKEY;1750;1081600;421
88294;PATRON SILVER TEQUILA;375;1022100;410
62420;MARGARITAVILLE SKINNY MARGARITA;1750;1071100;330
69947;RUMPLE MINZE PEPPERMINT SCHNAPPS LIQUEUR;1000;1081390;260
77698;SMIRNOFF ORANGE;750;1031200;260
12408;CANADIAN LTD WHISKY;1750;1012100;55
76486;PARAMOUNT AMARETTO;750;1081010;434
64601;CARAVELLA LIMONCELLO;750;1082900;55
11773;BLACK VELVET;200;1012100;115
10624;CANADIAN CLUB WHISKY;375;1012100;65
43026;ADMIRAL NELSON SPICED RUM;750;1062310;259
76526;PARAMOUNT MELON LIQUEUR;750;1081900;434
33256;SEAGRAMS LIME TWISTED GIN;750;1041150;370
37998;SMIRNOFF VODKA 80 PRF;1750;1031080;260
64996;FRANGELICO LIQUEUR;750;1082900;461
89788;SAUZA GOLD;1750;1022100;65
76487;PARAMOUNT AMARETTO;1000;1081010;434
65066;GOLDSCHLAGER CINNAMON SCHNAPPS;750;1081390;260
40604;SMIRNOFF KISSED CARAMEL;750;1031200;260
87510;1800 SILVER TEQUILA;750;1022100;395
35926;FIVE O'CLOCK PET VODKA;750;1031080;297
5349;JOHNNIE WALKER RED;1750;1012200;260
24458;KESSLER BLEND WHISKEY;1750;1011100;65
11297;CROWN ROYAL CANADIAN WHISKY;1000;1012100;260
11588;BLACK VELVET RESERVE;1750;1012100;115
5246;HIGHLAND PARK 12YR SINGLE MALT SCOTCH;750;1012210;305
29728;CALVERT GIN;1750;1041100;434
67526;KAHLUA COFFEE LIQUEUR;750;1081030;370
37994;SMIRNOFF VODKA 80 PRF;375;1031080;260
22788;BEAM'S 8 STAR BL WHISKEY;1750;1011100;65
11786;BLACK VELVET TRAVELER;750;1012100;115
4716;CHIVAS REGAL 12 YR;750;1012200;370
43124;BACARDI SUPERIOR RUM;375;1062200;35
67266;YUKON JACK CANADIAN LIQUEUR;750;1081600;260
76036;MIDNIGHT MOON APPLE PIE;750;1081700;384
11348;SEAGRAMS V.O. BL CANADIAN WHISKY PET;1750;1012100;260
34578;PINNACLE VODKA;1750;1032080;65
44456;CRUZAN RASPBERRY RUM;750;1062300;65
27410;JIM BEAM HONEY;750;1011200;65
8826;LAUDER'S SCOTCH;750;1011200;55
42566;GOSLING'S BLACK SEAL;750;1062300;91
64755;CIROC RED BERRY;750;1032200;260
40593;NEW AMSTERDAM PEACH;375;1031200;205
67296;YUKON JACK PERMA FROST SCHNAPPS;750;1081380;260
29287;BARTON GIN;1000;1041100;55
10009;SCORESBY RARE SCOTCH;1000;1012200;260
31472;NEW AMSTERDAM GIN;200;1041100;205
67006;MIDORI MELON LIQUEUR;750;1082900;65
43244;CAPTAIN MORGAN 100 PROOF SPICED RUM;750;1062310;260
46504;KRAKEN BLACK SPICED RUM;750;1062310;395
36015;PINNACLE PEACH;750;1032200;65
43126;BACARDI SUPERIOR RUM;750;1062200;35
35946;FLEISCHMANN'S ROYAL VODKA;750;1031080;55
55086;PARAMOUNT BLACKBERRY BRANDY;750;1051110;434
64856;FIREBALL;200;1081600;421
4876;DEWARS 12YR;750;1012200;35
49175;REMY MARTIN VS COGNAC;375;1052010;389
36903;MCCORMICK VODKA;200;1031080;300
37987;SKYY VODKA;1000;1031080;461
10553;BLACK VELVET CINNAMON RUSH;750;1012100;115
85606;PARAMOUNT BLUE CURACAO;750;1081900;434
36307;HAWKEYE VODKA;1000;1031080;434
37146;OPULENT VODKA;750;1031080;322
34995;THREE OLIVES GRAPE VODKA;750;1032200;395
52598;E & J VS;1750;1051010;205
52579;E & J VSOP SUPERIOR RESERVE MINI;500;1051010;205
18116;EVAN WILLIAMS BLACK LABEL TRAVELER;750;1011200;259
44657;LADY BLIGH SPICED RUM;1000;1062310;434
86807;SOUTHERN COMFORT BOLD BLACK CHERRY;750;1081600;85
24451;KESSLER BLEND WHISKEY MINI;500;1011100;65
5103;GLENMORANGIE LASANTA;750;1012210;420
30238;GILBEY'S GIN LONDON DRY;1750;1041100;65
25606;SEAGRAMS 7 CROWN BL WHISKEY;750;1011100;260
83906;MAUI BLUE HAWAIIAN SCHNAPPS;750;1081365;421
84617;PHILLIPS ROOT BEER SCHNAPPS;1000;1081340;380
988805;PATRON ROCA REPOSADO;750;1022100;410
41705;UV RED (CHERRY) VODKA;1000;1031200;380
80136;E & J CASK & CREAM;750;1081200;205
80458;RYAN'S CREAM LIQUEUR;1750;1081200;330
67557;KAMORA COFFEE LIQUEUR;1000;1081030;65
45888;SAILOR JERRY SPICED NAVY RUM;1750;1062310;240
32233;SEAGRAMS EXTRA DRY GIN;200;1041100;370
19030;JIM BEAM JACOB'S GHOST MINI;500;1011200;65
46350;HAWKEYE LIGHT RUM;1750;1062200;434
81406;THUNDER 101 PEPPERMINT SCHNAPPS;750;1081300;434
